ru,en
"ВНУТРЕННИЙ ДОКУМЕНТ
Уровень доступа: ограниченный
Объект наблюдения: ANNA R.
Статус: активное наблюдение
Цель текущего этапа — оценка устойчивости восприятия объекта в условиях медикаментозной коррекции, сенсорной нестабильности и повторяющихся сигнальных воздействий.
Зафиксированы следующие особенности:
- повышенная чувствительность 
- склонность к интерпретации случайных стимулов как осмысленных сообщений;
- нестабильная критическая оценка собственного состояния;
- эпизоды отчуждения
После изменения дозировки отмечено:

","INTERNAL DOCUMENT
Access level: restricted
Observation subject: ANNA R.
Status: active surveillance
The goal of the current phase is to assess the stability of the subject's perception under conditions of medication correction, sensory instability, and repeated signal exposure.
The following traits have been recorded:
- heightened sensitivity 
- a tendency to interpret random stimuli as meaningful messages;
- unstable critical assessment of her own condition;
- episodes of dissociation
After the dosage change, the following was noted:"
ВЫЙТИ,EXIT
Ведь я была в нём всегда и всегда буду,"After all, I was always in it, and always will be"
"Возможно, изучение вопроса поможет тебе успокоиться.",Maybe looking into it will help you calm down.
Возможно. Но ты ведь всё равно продолжаешь слушать,Maybe. But you keep listening anyway
Войти,Enter
"Вот ты и снова со мной. Как думаешь, что происходит?",Here you are with me again. What do you think is happening?
Всё расплывается…,Everything is blurring…
"Вы ведь всё знаете, верно?","You know everything, don't you?"
"Вы ведь мне не верите, да?","You don't believe me, do you?"
Выйти в главное меню?,Exit to the main menu?
Выпить,Take
"Голос в радио сказал, что поможет мне. Мне помогут сбежать. Я должна раскрыть правду. ",The voice on the radio said it would help me. They'll help me escape. I have to uncover the truth.
Голос: Анна!,Voice: Anna!
"Голос: Анна, ты слышишь?","Voice: Anna, can you hear me?"
Голос: Я обязательно найду тебя,Voice: I will find you
Голоса в белом шуме,Voices in white noise
"Город, где я никогда не побываю…",A city I'll never visit…
ДА,YES
ДАЛЕЕ,NEXT
Давай устроим проверку реальности.,Let's do a reality check.
Дверь,Door
Для начала следи за дыханием.,Start by focusing on your breathing.
"До завтра, Анна.","See you tomorrow, Anna."
До свидания..,Goodbye..
"Добрый день, Анна. Как ты себя чувствуешь сегодня?","Good afternoon, Anna. How are you feeling today?"
Доктор П говорит не слушать...,Dr. P says not to listen...
"Доска почти полностью заполнена. Повсюду записи, круги, стрелки и беспорядочные пометки.","The board is almost completely filled. Notes, circles, arrows, and scattered markings are everywhere."
Е - взаимодействовать,E - interact
"Если вы слышите помехи, не пытайтесь настраивать приёмник слишком резко","If you hear static, don't try to tune the receiver too abruptly"
За мной всё это время наблюдали?,Have they been watching me this whole time?
Закурить,Light a cigarette
Залезть под кровать,Crawl under the bed
"Звёзды, чей блеск не отразится в моих глазах…",Stars whose glimmer will never reflect in my eyes…
"Здравствуй, Анна! ","Hello, Anna! "
"И никто не придёт меня спасти
","And no one will come to save me
"
"Или прогуляться по заброшенному городу
","Or take a walk through the abandoned city
"
Имею ли я право грустить из-за этого?,Do I have the right to be sad about this?
Имею ли я право скорбеть по этому?,Do I have the right to grieve for this?
Имею ли я право скучать по этому?,Do I have the right to miss this?
"Иногда мне кажется, что я в ловушке
","Sometimes I feel like I'm trapped
"
Иногда тревога усиливает восприятие и делает обычные вещи более значимыми.,Sometimes anxiety heightens perception and makes ordinary things feel more significant.
Использовать компьютер,Use the computer
"Кажется, лечение правда мне поможет.",I think the treatment is really helping me.
"Кажется, они пришли за мной.",I think they've come for me.
"Как понять, что телефон прослушивают",How to tell if your phone is being tapped
"Кликайте, чтобы успокоиться",Click to calm down
Кто-то пытается связаться со мной?,Is someone trying to contact me?
"ЛИЧНОЕ ДЕЛО
 Код объекта: [0004]
 Уровень доступа: [ВНУТРЕННИЙ]
 Статус: [АКТИВЕН]
1. Основные сведения
Имя: [Анна Райс]
Возраст: [24]
Дата рождения: [12.02.86]
Адрес: [УДАЛЕНО]
Семейное положение: [Не замужем]
Место работы / обучения: [Отсутствует]","PERSONAL FILE
 Subject code: [0004]
 Access level: [INTERNAL]
 Status: [ACTIVE]
1. Basic information
Name: [Anna Rice]
Age: [24]
Date of birth: [12.02.86]
Address: [DELETED]
Marital status: [Unmarried]
Place of work / study: [None]"
Лечь спать,Go to sleep
"Мне бы хотелось уйти далеко-далеко…
","I wish I could go far, far away…
"
"Мне важно понять, как это выглядит для тебя.",It's important for me to understand how this looks to you.
"Мне кажется, за мной следят.",I feel like someone's watching me.
"Мне кажется, телефон прослушивают",I think my phone is being tapped
Мне нужно ещё раз послушать радио,I need to listen to the radio again
Мне нужно ещё раз посмотреть на доску,I need to look at the board again
"Мне нужно решить, что делать с таблетками",I need to decide what to do about the pills
"Море, которое я никогда не увижу…",A sea I'll never see…
Музыка,Music
НАЗАД,BACK
НАСТРОЙКИ,SETTINGS
НАЧАТЬ,START
НЕТ,NO
НИКОМУ НЕ ДОВЕРЯЙ. ОНИ ПРИДУТ ЗА ТОБОЙ. НЕ ВЫХОДИ ИЗ КОМНАТЫ.,TRUST NO ONE. THEY WILL COME FOR YOU. DO NOT LEAVE THE ROOM.
"На доске несколько заметок, фотографии и первые связи между ними.","There are a few notes on the board, some photographs, and the first connections between them."
На сегодня выбор уже сделан.,The choice for today has already been made.
Настроить частоту,Tune the frequency
Не доверяй доктору П!,Don't trust Dr. P!
Не пить,Don't take
"Некоторые исследователи и журналисты уже много лет спорят о том, где проходит граница между лечением, испытанием и скрытым наблюдением. В истории психиатрии не раз случалось так, что пациенты становились не только получателями помощи, но и объектами изучения. Особенно тревожны случаи, где люди не до конца понимали, какие препараты им дают, зачем меняют дозировку и как именно фиксируют их реакцию.

Официально подобные практики строго регулируются, но это не мешает появляться историям о закрытых программах, частных клиниках и “добровольном согласии”, полученном в сомнительных условиях. Иногда главный страх связан даже не с самим препаратом, а с тем, что кто-то внимательно смотрит, как меняется личность человека под его воздействием.","Some researchers and journalists have been debating for years where the line lies between treatment, testing, and covert surveillance. Throughout the history of psychiatry, there have been repeated cases where patients became not only recipients of care but also subjects of study. Especially troubling are the cases where people didn't fully understand what medications they were being given, why their dosage was being changed, or exactly how their reactions were being recorded.

Officially, such practices are strictly regulated, but that hasn't stopped stories from surfacing about closed programs, private clinics, and ""voluntary consent"" obtained under questionable circumstances. Sometimes the greatest fear isn't the drug itself, but the thought that someone is closely watching how a person's personality changes under its influence."
"Некоторые сигналы находят только тех, кому они предназначены. НЕ ПЕЙ ТАБЛЕТКИ!",Some signals only find those they're meant for. DON'T TAKE THE PILLS!
"Нитей стало больше. Некоторые записи повторяются, а связи выглядят тревожнее.","There are more threads now. Some notes repeat, and the connections look more unsettling."
Но потом я нахожу комфорт в этом состоянии…,But then I find comfort in this state…
"Но это не значит, что правды здесь нет",But that doesn't mean there's no truth here
"Нужно записывать свои мысли, я всё время путаюсь и всё забываю. Голова плывёт...внутри так жарко","I need to write down my thoughts, I keep getting confused and forgetting everything. My head is spinning...it's so hot inside"
Нужно подышать свежим воздухом,I need to get some fresh air
Они вcегда были здесь. Я чувствую их взгляд.,They've always been here. I can feel them watching.
Они видят тебя,They see you
Они идут за мной,They're coming for me
"Они уже здесь, я слышу.","They're already here, I can hear them."
Они уже рядом,They're close
"Они хотят лишить меня моих способностей видеть реальность. Я буду бороться. Не сдавайся, Анна!","They want to strip me of my ability to see reality. I will fight. Don't give up, Anna!"
Осмотреть доску,Examine the board
Открыто {0} из {1} концовок,Unlocked {0} of {1} endings
Открыть дверь,Open the door
Отлично!,Great!
Отлично.,Great.
ПРОДОЛЖИТЬ,CONTINUE
"Передача сообщений по радио осуществляется с помощью электромагнитных волн, охватывая как голосовую связь через рации (PTT), так и передачу данных (RTTY, пакетное радио, APRS). Технология позволяет обмениваться текстом и звуком, используя различные диапазоны (VHF/UHF), причем дальность зависит от рельефа и мощности оборудования.","Radio message transmission works by means of electromagnetic waves, covering both voice communication via walkie-talkies (PTT) and data transmission (RTTY, packet radio, APRS). The technology allows text and sound to be exchanged using various bands (VHF/UHF), with range depending on terrain and equipment power."
Передача сообщений через радио,Sending messages via radio
Побочные эффекты антипсихотиков,Side effects of antipsychotics
Под моим окном машина.,There's a car under my window.
Подойти к телефону,Go to the phone
Подсказка: осмотреть доску,Hint: examine the board
Подсказка: откройте дверь,Hint: open the door
Подсказка: поговорить с психиатром,Hint: talk to the psychiatrist
Подсказка: послушать радио,Hint: listen to the radio
Подсказка: посмотреть в зеркало,Hint: look in the mirror
Подсказка: проверить компьютер,Hint: check the computer
Подсказка: прогнать галлюцинации,Hint: chase away the hallucinations
"Подсказка: решить, пить ли таблетки",Hint: decide whether to take the pills
Подсказка: спрячьтесь,Hint: hide
Поищешь статьи в интернете?,Want to search for articles online?
Получено концовок: 1 из 3,Endings unlocked: 1 of 3
Попробуй зашторить окна и принять двойную дозировку на ночь.,Try closing the curtains and taking a double dose at night.
Посмотреть в зеркало,Look in the mirror
Посмотреть в окно,Look out the window
Посмотреть таблетки,Look at the pills
"Посмотри вокруг и назови четыре вещи, которые видишь",Look around and name four things you see
Посмотри на себя,Look at yourself
Постарайся игнорировать это и больше отдыхать.,Try to ignore it and rest more.
Постарайся не пропускать приём препаратов.,Try not to skip your medication.
"Почему оно говорит твоими словами, но не твоим голосом?","Why does it speak with your words, but not your voice?"
Почему ты так думаешь?,Why do you think that?
Правительство скрывает правду,The government is hiding the truth
Принудительная госпитализация,Involuntary hospitalization
"Принудительная госпитализация рассматривается в ситуациях, когда психическое состояние человека создаёт серьёзный риск и он не может критически оценить происходящее. Обычно речь идёт о случаях, когда наблюдается одно или несколько из следующих состояний:

- непосредственная опасность для себя
- непосредственная опасность для окружающих
- выраженная дезорганизация поведения
- тяжёлое нарушение контакта с реальностью
- отказ от необходимой помощи при быстром ухудшении состояния

Решение о такой мере зависит от законодательства, клинической оценки и конкретной ситуации. ","Involuntary hospitalization is considered in situations where a person's mental state poses a serious risk and they are unable to critically assess what's happening. This usually applies to cases where one or more of the following is present:

- immediate danger to oneself
- immediate danger to others
- severe disorganization of behavior
- a serious break from reality
- refusal of necessary help while rapidly deteriorating

The decision to take such a measure depends on legislation, clinical assessment, and the specific situation. "
Провалы в памяти и медикаменты,Memory lapses and medication
"Провалы в памяти могут ощущаться пугающе: человек смотрит на собственную запись, но не помнит, когда и зачем её сделал. Иногда это связано с переутомлением, стрессом, тревогой, нарушением сна или действием препаратов. В других случаях причиной становятся защитные механизмы психики, когда сознание как будто обрезает часть пережитого опыта.

Особенно тяжело переносится не сама забывчивость, а ощущение отчуждения от собственных действий. Если ты видишь знакомый почерк, слышишь свой голос на записи или читаешь фразу, которую точно не могла бы придумать “сейчас”, возникает чувство, будто рядом существует другая версия тебя. На этом месте начинается самый опасный вопрос: память подвела тебя, или кто-то действительно вмешался в твою жизнь так, что между событиями появились пустоты?","Memory lapses can feel frightening: a person looks at their own note but doesn't remember when or why they wrote it. Sometimes this is linked to exhaustion, stress, anxiety, poor sleep, or the effects of medication. In other cases, the cause lies in the mind's defense mechanisms, when consciousness seems to cut out part of the experience.

What's especially hard to bear isn't the forgetfulness itself, but the feeling of estrangement from your own actions. If you see your familiar handwriting, hear your own voice in a recording, or read a phrase you're certain you couldn't have written ""now,"" it creates a feeling that another version of you exists somewhere nearby. That's where the most dangerous question begins: did your memory fail you, or did someone actually interfere with your life so that gaps appeared between events?"
Прогнать,Chase away
"Пройтись по заросшему травой асфальту, который разрезан трещинами","Walk along the grass-overgrown asphalt, cut through with cracks"
Прятаться бессмысленно. Мне нужно открыть дверь.,Hiding is pointless. I need to open the door.
"Радио говорило со мной. Оно знает, кто я.",The radio spoke to me. It knows who I am.
Разве расстройство стало бы так терпеливо объяснять тебе правила?,Would a disorder really explain the rules to you so patiently?
СМОТРИ.,LOOK.
"Свет ложится на излом,
Тают тени в тишине
Кто-то в комнате пустой
Пересчитывал песок.
Время сжалось в плотный ком
Не вернуться нам назад
Где-то за стеной прибой,
Он зовёт меня к себе","Light falls upon the break,
Shadows melt in the silence
Someone in an empty room
Was counting grains of sand.
Time has folded into a knot
We cannot go back again
Somewhere past the wall, the surf,
It's calling me to come"
Сигнал восстановлен. Продолжай слушать внимательно и не перебивай.,Signal restored. Keep listening carefully and don't interrupt.
Скрытые исследования восприятия,Covert perception research
Сначала нужно поговорить с психиатром,First I need to talk to the psychiatrist
Сначала нужно посмотреть в зеркало,First I need to look in the mirror
Сначала нужно проверить компьютер,First I need to check the computer
"Сосредоточься на приятных делах. Подумай, чем хотела бы заняться.",Focus on pleasant things. Think about what you'd like to do.
Список дел.txt,To-do list.txt
"Старайся дышать так, как мы делали на приёме, помнишь?","Try to breathe the way we practiced during our session, remember?"
"Таблетки, которые мне прописал Доктор П. Их нужно принимать перед сном.",The pills Dr. P prescribed for me. They need to be taken before bed.
Тебе нужно немного подождать...,You need to wait a little...
"Тебя вели к этому дню осторожно, чтобы ты сама назвала это своим выбором","You were carefully led to this day, so that you'd call it your own choice"
"Тема: Кто ещё думает, что нам постоянно недоговаривают?

user_17
Я уже не первый год замечаю одно и то же: когда происходит что-то серьёзное, официальная версия всегда появляется слишком быстро и звучит слишком гладко. Как будто её подготовили заранее. 
northgate
Потому что скрывать информацию проще, чем объяснять всё людям. 
milk_static
Есть ощущение, что часть данных специально дробят. 
user_17
Меня больше всего пугает, как быстро любое сомнение объявляют бредом. 
redroom89
Потому что большинству людей не нужен ответ. Им нужна версия, в которой можно спокойно жить дальше.","Topic: Who else thinks they're constantly keeping things from us?

user_17
I've been noticing the same thing for years now: whenever something serious happens, the official version always comes out too fast and sounds too smooth. Like it was prepared in advance. 
northgate
Because hiding information is easier than explaining everything to people. 
milk_static
I get the feeling that some of the data is deliberately fragmented. 
user_17
What scares me most is how quickly any doubt gets labeled as delusion. 
redroom89
Because most people don't need an answer. They need a version they can live with peacefully."
"Тема: Не знаю, схожу с ума или мой телефон правда слушают

Не уверен, что пишу по адресу, но у меня уже несколько недель странное чувство из-за телефона. Сначала были обычные вещи: короткие щелчки во время звонка, потом задержка перед тем, как человек на другой стороне начинает говорить. Я списывал это на связь. Потом заметил, что иногда слышу слабый фоновый шум, как будто кто-то уже находится на линии.
Самое неприятное началось позже. После некоторых разговоров мне стало казаться, что реклама, письма и даже случайные темы в ленте слишком точно совпадают с тем, что я обсуждал вслух. Понимаю, как это звучит. 
Может, всему есть нормальное объяснение. Но когда начинаешь ждать очередной щелчок перед ответом, любой звонок превращается в проверку — один ли ты в этом разговоре.","Topic: Not sure if I'm losing my mind or my phone is actually being tapped

I'm not sure this is the right place to post, but for a few weeks now I've had a strange feeling about my phone. At first it was ordinary things: short clicks during calls, then a delay before the person on the other end starts talking. I chalked it up to a bad connection. Then I noticed I sometimes hear faint background noise, as if someone's already on the line.
The worst part started later. After certain conversations, ads, emails, and even random topics in my feed started matching what I'd talked about out loud a little too precisely. I know how that sounds. 
Maybe there's a normal explanation for all of it. But once you start waiting for that next click before someone answers, every call turns into a test — whether you're really alone in that conversation."
"Теории о скрытых исследованиях восприятия обычно строятся вокруг одной идеи: если можно измерять внимание, память и реакции на стимулы, значит можно и пытаться управлять ими вне лаборатории. В разных версиях таких теорий фигурируют закрытые программы, оборонные подрядчики, фармацевтические корпорации и исследовательские центры, изучающие, насколько легко изменить интерпретацию реальности у человека под давлением среды.

Чаще всего упоминаются три направления: сенсорная перегрузка, информационная фрагментация и фармакологическая модуляция. Сторонники заговора считают, что в комбинации эти методы позволяют ослабить уверенность человека в собственном восприятии, повысить внушаемость и сделать его зависимым от внешнего источника “объяснения происходящего”. Именно поэтому в таких теориях рядом часто оказываются препараты, шум, изоляция, недосып и повторяющиеся сигналы.","Theories about covert perception research are usually built around one idea: if attention, memory, and reactions to stimuli can be measured, then they can also be manipulated outside a laboratory. Different versions of these theories feature closed programs, defense contractors, pharmaceutical corporations, and research centers studying how easily a person's interpretation of reality can be altered under environmental pressure.

Three directions are mentioned most often: sensory overload, information fragmentation, and pharmacological modulation. Believers in the conspiracy argue that, combined, these methods can weaken a person's confidence in their own perception, increase suggestibility, and make them dependent on an outside source for ""explaining what's happening."" That's why such theories so often bring together medication, noise, isolation, sleep deprivation, and repeating signals."
Теперь я могу пойти спать,Now I can go to sleep
Тогда так и поступим.,Then that's what we'll do.
"Тревожно, но я держусь.","It's unsettling, but I'm holding on."
"Туда, где царят покой и тишина, где слышно только волны, которые бьются о скалы…","To a place where peace and silence reign, where all you hear are waves breaking against the rocks…"
"Туда, где шумят волны и ветер обдувает моё лицо",To a place where the waves roar and the wind brushes against my face
Ты их слышишь?,Can you hear them?
Ты сама сможешь себе помочь.,You can help yourself.
"Ты уже слишком далеко зашла, чтобы снова назвать всё это случайностью.",You've already gone too far to call all of this a coincidence again.
Убрать сигарету,Put out
Фармацевтические эксперименты,Pharmaceutical experiments
"Феномен распознавания голосов в белом шуме обычно связывают с парейдолией — склонностью мозга обнаруживать осмысленные паттерны в случайных сигналах. Это же явление заставляет людей видеть лица в пятнах или фигуры в облаках. В акустической среде роль такого “случайного материала” играют белый шум, радиопомехи, вентиляция, статический треск и низкоамплитудные фоновые колебания.

На восприятие сильно влияют ожидание, тревожность, селективное внимание и прайминг. Если человек заранее настроен услышать определённое слово, имя или интонацию, слуховая система с большей вероятностью “соберёт” нужную структуру из неопределённого сигнала. При длительном вслушивании усиливается субъективная уверенность в том, что сообщение действительно было.","The phenomenon of recognizing voices in white noise is usually linked to pareidolia — the brain's tendency to find meaningful patterns in random signals. The same phenomenon makes people see faces in stains or shapes in clouds. In an acoustic environment, the role of this ""random material"" is played by white noise, radio static, ventilation hum, static crackle, and low-amplitude background fluctuations.

Perception is strongly influenced by expectation, anxiety, selective attention, and priming. If a person is primed in advance to hear a specific word, name, or tone, their auditory system is more likely to ""assemble"" the desired structure out of an ambiguous signal. With prolonged listening, the subjective certainty that the message was really there only grows stronger."
Хорошо,Okay
"Хорошо, ты видишь машину.","Okay, you see the car."
Хорошо. давай попробуем вместе разобраться в этом.,Okay. Let's try to work through this together.
Хорошо...,Okay...
"Хуже всего то, что со временем ты начала наблюдать за собой их глазами.","The worst part is that, over time, you started watching yourself through their eyes."
"Цветы, чей запах я никогда не узнаю…",Flowers whose scent I'll never know…
Чт..си..нал...тер...ся..,Wh..si..gnal...fa...ding..
Что нового сегодня?,What's new today?
Что произошло?,What happened?
Чувствительность мыши,Mouse sensitivity
Эксперимент всегда маскируется под заботу. Больной разум — очень удобное объяснение для чужой жестокости,An experiment always disguises itself as care. A sick mind is a very convenient explanation for someone else's cruelty
Это медицинский эксперимент?,Is this a medical experiment?
Это тестовая панель,This is a test panel
Эффекты,Effects
"Я больше не понимаю, что из этого настоящее.",I no longer understand which of this is real.
Я выгляжу обычно,I look normal
"Я знаю, что ты их слышишь",I know you can hear them
"Я не могу лечь спать, пока эти вещи ещё здесь",I can't go to sleep while these things are still here
"Я не помню, как писала предыдущие заметки...всё смешалось.",I don't remember writing my previous notes...everything's gotten mixed up.
"Я немного повышу тебе дозировку, хорошо?","I'm going to increase your dosage a little, okay?"
Я помогу тебе. Запомни главное: НЕ ПЕЙ ТАБЛЕТКИ!,I'll help you. Remember the most important thing: DON'T TAKE THE PILLS!
"Я понимаю, что это ощущается реально. Давай попробуем отвлечься от этого.",I understand that this feels real. Let's try to take your mind off it.
Я постараюсь...,I'll try...
Я просто окончательно теряю рассудок..,I'm just losing my mind again...
Я сейчас не хочу выходить из комнаты,I don't want to leave the room right now
Я слышала пищание телефона.,I heard the phone beeping.
"Я слышу, как тебе страшно. Давай попробуем разложить план действий по шагам.",I can hear how scared you are. Let's try to break the plan down into steps.
"Я снова начинаю слышать то, чего нет",I'm starting to hear things that aren't there
Я тебя понял. Иногда старые телефоны сбоят.,I understand. Old phones sometimes glitch.
Я уже говорила с психиатром сегодня,I already talked to the psychiatrist today
Я уже слушала радио сегодня,I already listened to the radio today
Язык,Language
вдох,inhale
выдох,exhale
не открывай им,don't let them in
не смотри в окно,don't look out the window
не смотри...в зеркало...,don't look...in the mirror...
объект стабилен.,subject is stable.
отключить телефон,turn off the phone
послушать радио,listen to the radio
фокус на состоянии объекта.,focus on the subject's condition.
